topic_id,word,weight,in_dictionary,in_cold_war_vocab,in_known_entities,is_abbreviation,is_spanish_stopword,doc_frequency,high_doc_frequency,too_short,non_alpha,flagged_as_noise
0,code,0.024836,True,False,False,False,False,1259,True,False,False,False
0,personnel,0.017987,True,False,False,False,False,1967,True,False,False,False
0,data,0.01736,True,False,False,False,False,1536,True,False,False,False
0,salary,0.015563,True,False,False,False,False,872,True,False,False,False
0,grade,0.010638,True,False,False,False,False,477,True,False,False,False
0,designation,0.010193,True,False,False,False,False,679,True,False,False,False
0,effective,0.008635,True,False,False,False,False,1198,True,False,False,False
0,previous,0.008353,True,False,False,False,False,1642,True,False,False,False
0,fund,0.007707,True,False,False,False,False,1145,True,False,False,False
0,step,0.007632,True,False,False,False,False,1048,True,False,False,False
0,category,0.007609,True,False,False,False,False,940,True,False,False,False
0,rate,0.007335,True,False,False,False,False,667,True,False,False,False
0,signature,0.007174,True,False,False,False,False,1253,True,False,False,False
0,career,0.007083,True,False,False,False,False,591,True,False,False,False
0,serial,0.006944,True,False,False,False,False,566,True,False,False,False
0,authority,0.006452,True,False,False,False,False,1626,True,False,False,False
0,tax,0.006439,True,False,False,False,False,564,True,False,False,False
0,legal,0.006265,True,False,False,False,False,1274,True,False,False,False
0,pay,0.006061,True,False,False,False,False,1181,True,False,False,False
0,organizational,0.005838,True,False,False,False,False,580,True,False,False,False
1,hunt,0.010501,True,False,False,False,False,197,True,False,False,False
1,klan,0.009483,True,False,False,False,False,200,True,False,False,False
1,american,0.006287,True,False,False,False,False,1876,True,False,False,False
1,party,0.006042,True,True,False,False,False,1541,True,False,False,False
1,organization,0.005675,True,False,False,False,False,1943,True,False,False,False
1,national,0.005244,True,False,False,False,False,1928,True,False,False,False
1,university,0.00468,True,False,False,False,False,1012,True,False,False,False
1,program,0.00377,True,False,False,False,False,1577,True,False,False,False
1,klavern,0.003654,True,False,False,False,False,23,False,False,False,False
1,communist,0.003633,True,True,False,False,False,1469,True,False,False,False
1,shelton,0.003627,False,False,False,False,False,27,False,False,False,True
1,committee,0.003484,True,False,False,False,False,1720,True,False,False,False
1,york,0.003385,True,False,False,False,False,1519,True,False,False,False
1,history,0.003139,True,False,False,False,False,947,True,False,False,False
1,convention,0.003116,True,False,False,False,False,308,True,False,False,False
1,law,0.003013,True,False,False,False,False,1429,True,False,False,False
1,inc.,0.002852,False,False,False,True,False,369,True,False,True,False
1,letter,0.002825,True,False,False,False,False,1842,True,False,False,False
1,public,0.002746,True,False,False,False,False,1611,True,False,False,False
1,meeting,0.002712,True,False,False,False,False,1831,True,False,False,False
2,contract,0.009381,True,False,False,False,False,764,True,False,False,False
2,cover,0.008859,True,False,False,False,False,1916,True,False,False,False
2,personnel,0.005763,True,False,False,False,False,1967,True,False,False,False
2,employee,0.00451,True,False,False,False,False,1779,True,False,False,False
2,travel,0.004447,True,False,False,False,False,1362,True,False,False,False
2,month,0.004419,True,False,False,False,False,1895,True,False,False,False
2,data,0.00413,True,False,False,False,False,1536,True,False,False,False
2,payment,0.003914,True,False,False,False,False,668,True,False,False,False
2,signature,0.003804,True,False,False,False,False,1253,True,False,False,False
2,required,0.003441,False,False,False,False,False,1876,True,False,False,False
2,per,0.003412,True,False,False,False,False,1705,True,False,False,False
2,duty,0.003399,True,False,False,False,False,1330,True,False,False,False
2,effective,0.003383,True,False,False,False,False,1198,True,False,False,False
2,status,0.003378,True,False,False,False,False,1558,True,False,False,False
2,operational,0.003366,True,False,False,False,False,1327,True,False,False,False
2,headquarters,0.003289,True,False,False,False,False,1802,True,False,False,False
2,assignment,0.003228,True,False,False,False,False,1147,True,False,False,False
2,training,0.003196,True,False,False,False,False,1333,True,False,False,False
2,period,0.003162,True,False,False,False,False,1841,True,False,False,False
2,leave,0.003084,True,False,False,False,False,1359,True,False,False,False
3,committee,0.017644,True,False,False,False,False,1720,True,False,False,False
3,fbi,0.017127,False,True,True,False,False,1571,True,False,False,False
3,bureau,0.010654,True,False,False,False,False,1321,True,False,False,False
3,ssc,0.008887,False,False,True,False,False,313,True,False,False,False
3,select,0.008598,True,False,False,False,False,958,True,False,False,False
3,senate,0.007856,True,False,False,False,False,634,True,False,False,False
3,attorney,0.00751,True,False,False,False,False,1065,True,False,False,False
