topic_id,doc_index,file_id,topic_weight,text_preview
0,3448,157-10014-10242_chunk_008,0.999859,came lumberjack refrigeration repairman .right refrigerator refrigeration-air conditioning repairman alright husband two agent went floor right stationed going lookout hallway service entrance service
0,1464,104-10221-10004_chunk_006,0.999844,embassy find locate valentin cucherov meet another vc like perhaps monday vkg monday arrange time phone monday morning april niric vrg answer cucherov phoned found press conference miric say correspon
0,1465,104-10221-10004_chunk_007,0.993804,reson bmilio célombo name dominican exilea mexico vkghad news north peopla evident effort newa anitting pacify latin american speaking naming provisional president se à. yoca set weasin talking rehal 
0,875,104-10177-10217_chunk_001,0.963365,ret jan sta tc blvj secret af staff cite director ayat line laboda assi lanreace fil turis fdrill knoxer mathen ffa march elgen qr district colo district colant reposentatives esip requested whatever 
0,794,104-10174-10071_chunk_007,0.865624,veranstaltung die wahlen der su ein fest de sowjesvolkes 'mitwirkender die solistenvereinigung de berl rundfunks unter leitung von nationalpreistrager heimet koch robert trösch und da billett dai verl
1,1006,104-10182-10004_chunk_005,0.983838,mentioned held back thought mother wife feeling even need repeated approach jean adam coersion get restraining influence wife debriefing although left full freedom tell story feel live show excitement
1,772,104-10174-10065_chunk_006,0.977832,apartment 'll go want attend course english week 'll busy log ok next conversation appeared gaziyev probably talking since gaziyev taking spanish mexican-north american institute knew gaziyev class oc
1,1005,104-10182-10004_chunk_004,0.947784,tellier yourgest backed liinzini fut david show manliness went upstairs woman asked franc woman asked le room cold water cold nearly lost penis help woman managed felt proud returned others however si
1,1362,104-10217-10221_chunk_004,0.945338,best opportunity develop natural cover gain natural access target area selectica case officer future handling- pending final decision/request katzenbach contact give retainer fee hundred dollar per we
1,1364,104-10217-10221_chunk_006,0.942729,academic related much life except plotter born conspirer love ten people around tell maneuver course whatever tell generally turn disastrous example so-called pro-chinese student inside ubc union de e
2,2261,104-10535-10001_chunk_002,0.999853,su viaje cuba donde estuvo con su esposo quince días narra lo siguiente los últimos días del de noviembre de dirigí cuba sin ser invitada cubriendo los gastos de transportación de mi propio peculio al
2,1137,104-10188-10001_chunk_003,0.999841,lo llamen întrada.- hrs.- chistir con muna para saber si opii el señor harila ai eoid lilleando con kid comba va esperar al vatu lo llamard porque lo quiaro coger como dé lugna hurada quiere preguntar
2,777,104-10174-10065_chunk_011,0.99984,requiera atención especial en caso afirmativo describala cuando tiene la piernas cruzadas se sienta quieto mave el pie mece hueve la pierna calea el suelo con el pie ¿se zece sobre los pie cuando está
2,1136,104-10188-10001_chunk_002,0.999839,al hijo del corunal hoja tres salida ocupada salida al hra.- bin contestación.- ocupada instituto cardiologia guzman pregunta por el dr. peguero de consulta externa dice esporo un momento im grullon s
2,823,104-10176-10006_chunk_004,0.999834,la naturaleza reviste un carácter social ya el hombre sólo puede llevarla cabo contrayendo determinadas relaciones socinles relaciones de producción en la praxis productiva además porque la modificaci
3,1913,104-10305-10000_chunk_005,0.968855,called effective way gaining lleoperations refuse publicly ch gra baton rouge novel talked four hour last night east baton rouge isha dist ally sargent pitchre arrival columbus offlo hying since selli
3,1912,104-10305-10000_chunk_004,0.830202,ärrest louisiana matter occurred entrance state comply subpena order dulles life york novel residing columbus ohio since fleeing louisiana last year call novel alleges associate isò diclaimed ferrie v
3,302,104-10106-10716,0.75562,segnet december schlumberger well surveying corporation houma munition bunker lease firm allegation garrison charged burglary houma munition bunker cia-inspired. issued arrest warrant gordon novel and
3,39,104-10059-10218,0.626452,sensitive february requests-from ober basic documentation circa subsequent second appearance rockefeller commission february ober returned headquarters afternoon february morning february continue fil
3,1931,104-10306-10025,0.549523,cia historical program release sanitized tru last month november sun mon tue wed thu fri sat next month january hse mity cancelled year eve party thursday december last month september october sun mon
4,3387,157-10014-10067_chunk_001,0.999864,form agency agency sscia series hearing agency file sscia tweedy bronson title congo assassination lumumba cia classification restriction transcript deletion last opening criterion comment item restri
4,3424,157-10014-10151_chunk_008,0.999864,departure unclear probably signifies biological substance lost toxicity nonetheless chief indicated gottlieb left biological substance still lethal intended proceed assassination operation sid left ce
4,3422,157-10014-10151_chunk_006,0.999863,castro regime castro personally laid special group augmented undertaken except authority group direction group time know evidence cia fact engaged period series attempt assassinate castro faced dilemm
4,3433,157-10014-10178_chunk_002,0.999863,oversight military program ica run defense department senior state department official involved area two different function reason setup area working cia intelligence matter somewhat different prior p
4,3339,157-10005-10297_chunk_002,0.999862,reconcile statement go ahead operation never imminent especially light tweedy prop next week told chief lumumba disposition spontaneously becomes consideration channel remains specific purpose discuss
5,2278,124-10179-10217_multirif_chunk_002,0.999863,attempt organize msrp unit recruit member letter purportedly complaint neighbor en longine street used violation residential zoning law mailed jackson jackson daily news 'jack sunn column letter point
5,2285,124-10179-10219_multirif_chunk_002,0.999863,attempt organize msrp unit recruit member letter purportedly complaint neighbor en longine street used violation residential zoning law mailed jackson jackson daily news 'jack sunn column letter point
5,2311,124-10179-10221_multirif_chunk_002,0.999863,attempt organize msrp unit recruit member letter purportedly complaint neighbor en longine street used violation residential zoning law mailed jackson jackson daily news 'jack sunn column letter point
5,2938,124-10274-10125_chunk_037,0.999857,armstrong xo herwig mrs. neenan rally repeal anti-abortion law federal building cleveland ohio public square cleveland ohio sponsored abortion project coalition apc cleveland ohio aug. twentyfive seve
5,2925,124-10274-10125_chunk_024,0.999857,last spokesman special event national capital park united state department interior washington d.c. notice proposed demonstration filed september twentyone last representative wonaac washington d.c. c
6,504,104-10150-10136_chunk_007,0.999854,ivanova told pregnant asked money abortion supervisor code clerk operation summary conclusion according nosenko transfer embassy operation american code clerk priority task thus important single respo
6,500,104-10150-10136_chunk_003,0.999851,directorate foreign intelligence directorate second chief directorate counterintelligence directorate designation later reversed month kruglov beriya successor comment beriya reversed designation firs
6,1265,104-10210-10021,0.999773,annex top secret study entitled examination bona fides kgb defector yuriy i. nosenko dated february study forwarded earlier certain portion annex study deleted since contains bear security ongoing via
6,2259,104-10534-10173_chunk_002,0.999477,asserted gribanov responsible sending geneva retracting claim gribanov played special role assignment asserted bannikov approved trip nosenko denies father gribanov acquainted annex february according
6,1284,104-10211-10001_chunk_005,0.996954,thought knowledgeability kgb code clerk operation main task prime reason moved u.s. embassy nosenko alleged supervise operational work american code clerk capacity closely guided work case officer gry
7,2586,124-10226-10305_chunk_004,0.997795,basis miami area mm businessman wide association criminal element miami area mm individual knowledge criminal element miami florida area mm supervisor agency conduct credit investigation obtain financ
7,2055,104-10330-10010,0.980083,david marwell executive director arrb john pereira cia/historical group mexico city/sensitive directorate operation prepared statement assist assassination board statement explains sensitivity related
