topic_id,word,weight,in_dictionary,in_cold_war_vocab,too_short,non_alpha,flagged_as_noise
0,n't,0.013124,False,False,False,True,True
0,say,0.010477,True,False,False,False,False
0,know,0.008883,True,False,False,False,False
0,call,0.008638,True,False,False,False,False
0,der,0.00707,False,False,False,False,True
0,get,0.006891,True,False,False,False,False
0,go,0.006689,True,False,True,False,True
0,right,0.005299,True,False,False,False,False
0,und,0.00528,False,False,False,False,True
0,die,0.005246,True,False,False,False,False
0,phone,0.005215,True,False,False,False,False
0,back,0.004716,True,False,False,False,False
0,like,0.004591,True,False,False,False,False
0,going,0.004419,True,False,False,False,False
0,yes,0.00431,True,False,False,False,False
0,want,0.004284,True,False,False,False,False
0,thing,0.004148,True,False,False,False,False
0,think,0.004089,True,False,False,False,False
0,take,0.003885,True,False,False,False,False
0,got,0.003838,True,False,False,False,False
1,told,0.005275,True,False,False,False,False
1,know,0.004284,True,False,False,False,False
1,wife,0.004055,True,False,False,False,False
1,n't,0.003941,False,False,False,True,True
1,asked,0.003845,False,False,False,False,True
1,get,0.003416,True,False,False,False,False
1,go,0.003145,True,False,True,False,True
1,friend,0.002959,True,False,False,False,False
1,loginov,0.002956,False,False,False,False,True
1,good,0.002947,True,False,False,False,False
1,say,0.002923,True,False,False,False,False
1,like,0.002895,True,False,False,False,False
1,soviet,0.002866,True,True,False,False,False
1,de,0.002802,True,False,True,False,True
1,people,0.002774,True,False,False,False,False
1,paris,0.002598,True,False,False,False,False
1,meeting,0.002517,True,False,False,False,False
1,embassy,0.002502,True,True,False,False,False
1,much,0.002483,True,False,False,False,False
1,man,0.002475,True,False,False,False,False
2,de,0.07632,True,False,True,False,True
2,la,0.046638,True,False,True,False,True
2,en,0.027369,True,False,True,False,True
2,el,0.024905,True,False,True,False,True
2,los,0.013615,False,False,False,False,True
2,del,0.011597,True,False,False,False,False
2,se,0.01107,True,False,True,False,True
2,por,0.010872,False,False,False,False,True
2,con,0.010257,True,False,False,False,False
2,un,0.00926,True,False,True,False,True
2,para,0.008485,True,False,False,False,False
2,al,0.008094,True,False,True,False,True
2,le,0.0069,False,False,True,False,True
2,e,0.00672,True,False,True,False,True
2,su,0.006333,False,False,True,False,True
2,una,0.006299,True,False,False,False,False
2,lo,0.006056,True,False,True,False,True
2,como,0.004335,False,False,False,False,True
2,cuba,0.003766,True,True,False,False,False
2,si,0.003242,True,False,True,False,True
3,tichborn,0.035779,False,False,False,False,True
3,novel,0.021117,True,False,False,False,False
3,orleans,0.019196,True,False,False,False,False
3,garrison,0.012641,True,False,False,False,False
3,edward,0.008471,True,False,False,False,False
3,contract,0.006861,True,False,False,False,False
3,gordon,0.00658,True,False,False,False,False
3,g.,0.00606,False,False,True,True,True
3,jury,0.005735,True,False,False,False,False
3,grand,0.004949,True,False,False,False,False
3,louisiana,0.004398,True,False,False,False,False
3,attorney,0.004319,True,False,False,False,False
3,company,0.004173,True,False,False,False,False
3,cover,0.004137,True,False,False,False,False
3,witness,0.00392,True,False,False,False,False
3,march,0.003564,True,False,False,False,False
3,month,0.003436,True,False,False,False,False
3,shaw,0.003429,True,False,False,False,False
3,ferrie,0.003347,False,False,False,False,True
3,august,0.003119,True,False,False,False,False
4,n't,0.013697,False,False,False,True,True
4,think,0.008199,True,False,False,False,False
4,know,0.008044,True,False,False,False,False
4,president,0.006745,True,False,False,False,False
4,assassination,0.006716,True,False,False,False,False
4,washington,0.005986,True,False,False,False,False
4,thing,0.005648,True,False,False,False,False
4,people,0.005442,True,False,False,False,False
4,area,0.005386,True,False,False,False,False
4,meeting,0.005307,True,False,False,False,False
4,paul,0.004813,True,False,False,False,False
4,senator,0.00473,True,False,False,False,False
4,question,0.004712,True,False,False,False,False
4,say,0.004613,True,False,False,False,False
4,phone,0.004533,True,False,False,False,False
4,ward,0.0044,True,False,False,False,False
4,street,0.004387,True,False,False,False,False
4,yes,0.004282,True,False,False,False,False
4,s.e.,0.003912,False,False,False,True,True
4,bissell,0.003828,False,False,False,False,True
5,york,0.009433,True,False,False,False,False
5,national,0.007162,True,False,False,False,False
5,organization,0.00572,True,False,False,False,False
5,bureau,0.005533,True,False,False,False,False
5,woman,0.005456,True,False,False,False,False
5,fbi,0.005318,False,True,False,False,False
5,san,0.005309,True,False,False,False,False
5,party,0.004961,True,True,False,False,False
5,washington,0.004821,True,False,False,False,False
5,program,0.004489,True,False,False,False,False
5,california,0.004366,True,False,False,False,False
5,francisco,0.004091,True,False,False,False,False
5,investigation,0.003855,True,False,False,False,False
5,communist,0.003825,True,True,False,False,False
5,march,0.003594,True,False,False,False,False
5,abortion,0.003489,True,False,False,False,False
5,meeting,0.003419,True,False,False,False,False
5,committee,0.003321,True,False,False,False,False
5,department,0.003273,True,False,False,False,False
5,conference,0.002973,True,False,False,False,False
6,nosenko,0.0458,False,False,False,False,True
6,kgb,0.027048,False,True,False,False,False
6,soviet,0.01261,True,True,False,False,False
6,american,0.012593,True,False,False,False,False
6,moscow,0.011358,True,False,False,False,False
6,department,0.011138,True,False,False,False,False
6,embassy,0.009448,True,True,False,False,False
6,directorate,0.004748,True,False,False,False,False
6,code,0.00423,True,False,False,False,False
6,tourist,0.004064,True,False,False,False,False
6,second,0.004026,True,False,False,False,False
6,deputy,0.003854,True,False,False,False,False
6,ussr,0.003599,False,False,False,False,True
6,january,0.003453,True,False,False,False,False
6,seventh,0.003422,True,False,False,False,False
6,u.s.,0.0032,False,False,False,True,True
6,recruitment,0.003175,True,False,False,False,False
6,reported,0.00317,False,False,False,False,True
6,geneva,0.002972,True,False,False,False,False
6,union,0.002911,True,False,False,False,False
7,board,0.019114,True,False,False,False,False
7,miami,0.010461,True,False,False,False,False
7,jfk,0.009003,False,False,False,False,True
7,release,0.008752,True,False,False,False,False
7,assassination,0.006484,True,False,False,False,False
7,collection,0.005837,True,False,False,False,False
7,florida,0.005697,True,False,False,False,False
7,cover,0.004483,True,False,False,False,False
7,arrb,0.004139,False,False,False,False,True
7,fbi,0.003976,False,True,False,False,False
7,rothman,0.0037,False,False,False,False,True
7,issue,0.003645,True,False,False,False,False
7,public,0.003485,True,False,False,False,False
7,employee,0.003049,True,False,False,False,False
7,sa,0.002819,True,False,True,False,True
7,telephone,0.002798,True,False,False,False,False
