topic_id,doc_index,file_id,topic_weight,text_preview
0,3698,180-10073-10093_chunk_002,0.99989,belief true correct complete declaration preparer taxpayer based preparer knowledge preparer signature taxpayer sign signature boek address zip code return part renter credit question answered march l
0,3699,180-10073-10093_chunk_003,0.999889,excess gain line line enter loss schedule form line otherwise enter zero reduce gain line extent loss line enter loss schedule form line otherwise enter zero add gain line reduce loss line extent gain
0,3702,180-10073-10093_chunk_006,0.999889,security a. principal business activity food service product snack bar b. business name street rural route example retail-hardware wholesale-tobacco services-legal manufacturing-furniture etc c. feder
0,3703,180-10073-10093_chunk_007,0.999888,choice two deduction method either itemize deduction take standard deduction explained instruction separate return husband wife medical dental expense compensated insurance otherwise medicine drug doc
0,3705,180-10073-10093_chunk_009,0.999888,amount payroll¨deduc- add item wage figuring amount-to-be-reported wage salary income tax return social security f.i.c.a rate includes hospital insurance benefit old-age survivor disability insurance 
1,744,104-10173-10135_chunk_004,0.999893,search access agent case edmundo fausto zorrilla martinez currently investigated possible illegals lead micro past operational activity addition routine coverage activity mexico done a. surveillance p
1,1017,104-10182-10057_chunk_005,0.99861,woman looking friendly enough speaking military duty titi return ecole de beaux-arts proposing good job determin follow school long time working architects.we looking apartement like own.few people un
1,1076,104-10185-10243,0.991634,june card called knott alien affair staff ammug-l card check thing moving far know trying get mug file might still border appl'sment set july feniceprint safe apartment summit hill move july called to
1,773,104-10174-10065_chunk_007,0.989453,might even suggest take advantage loginov absence fron mexico ussr requese relacciones give visa intelligence activity detailed back mouth francis j. coigne sxxx chf note birthday either kolomyakov mi
1,731,104-10173-10104_chunk_006,0.987601,position shift relaxed position make little change position foot large average small shoe pointed highly polished average blunt average well kept anything foot leg warrant special mention please descr
2,2261,104-10535-10001_chunk_002,0.999885,su viaje cuba donde estuvo con su esposo quince días narra lo siguiente los últimos días del de noviembre de dirigí cuba sin ser invitada cubriendo los gastos de transportación de mi propio peculio al
2,701,104-10172-10111_chunk_002,0.999884,en venezuela fue algo mayor el de francia estas cifras reflejan desde luego la actividades de la compañías de petróleo estadounidenses anglo-holandesas maurice halferin operan en venezuela pero dicen 
2,2260,104-10535-10001_chunk_001,0.999883,actividades de lee harvey oswald en mexico el de septiembre de oswald tomó el ommibus de la linea continental trailways en houstón partió la a.m. rumbo laredo texas pasando por corpus christi alice tu
2,569,104-10163-10176_chunk_004,0.999881,several people present meeting expressed concerned possibility samoza attend inauguration large nicaraguan official military desate dignity hc dignity insult national rica pepe figueres reported might
2,840,104-10176-10070_chunk_003,0.999876,ni cubana gestionar fondos pane con el verdugo de la haha ra la continuidad de los service se centrum se haman jesus planas car- mory tome nota el destierro xxx estudiantes con e cicle de conferencias
3,2613,124-10264-10206_multirif_chunk_003,0.999879,imperial wizard money sent monthly uka headquarters tuscaloosa individual klavern presumably put bank examination pertinent income tax return might furnish financial standing shelton uka used program 
3,2621,124-10264-10208_multirif_chunk_003,0.999879,imperial wizard money sent monthly uka headquarters tuscaloosa individual klavern presumably put bank examination pertinent income tax return might furnish financial standing shelton uka used program 
3,2629,124-10264-10209_multirif_chunk_003,0.999879,imperial wizard money sent monthly uka headquarters tuscaloosa individual klavern presumably put bank examination pertinent income tax return might furnish financial standing shelton uka used program 
3,2637,124-10264-10210_multirif_chunk_003,0.999879,imperial wizard money sent monthly uka headquarters tuscaloosa individual klavern presumably put bank examination pertinent income tax return might furnish financial standing shelton uka used program 
3,2834,124-10273-10289_redacted_chunk_056,0.84795,john ciszewski edward carmody et al chicago illinois police officer fred hampton deceased mark clark deceased brenda harris verlina brewer blain anderson ronald stachel et al summary punishment refere
4,3387,157-10014-10067_chunk_001,0.999897,form agency agency sscia series hearing agency file sscia tweedy bronson title congo assassination lumumba cia classification restriction transcript deletion last opening criterion comment item restri
4,3424,157-10014-10151_chunk_008,0.999896,departure unclear probably signifies biological substance lost toxicity nonetheless chief indicated gottlieb left biological substance still lethal intended proceed assassination operation sid left ce
4,3433,157-10014-10178_chunk_002,0.999895,oversight military program ica run defense department senior state department official involved area two different function reason setup area working cia intelligence matter somewhat different prior p
