topic_id,word,weight,in_dictionary,in_cold_war_vocab,too_short,non_alpha,flagged_as_noise
0,line,0.068311,True,False,False,False,False
0,tax,0.027136,True,False,False,False,False
0,enter,0.026457,True,False,False,False,False
0,total,0.019486,True,False,False,False,False
0,income,0.018188,True,False,False,False,False
0,schedule,0.018147,True,False,False,False,False
0,loss,0.015636,True,False,False,False,False
0,amount,0.015614,True,False,False,False,False
0,gain,0.010032,True,False,False,False,False
0,instruction,0.009954,True,False,False,False,False
0,attach,0.009833,True,False,False,False,False
0,less,0.007908,True,False,False,False,False
0,expense,0.0077,True,False,False,False,False
0,credit,0.006757,True,False,False,False,False
0,net,0.006458,True,False,False,False,False
0,business,0.006301,True,False,False,False,False
0,deduction,0.006299,True,False,False,False,False
0,social,0.006191,True,False,False,False,False
0,property,0.006186,True,False,False,False,False
0,add,0.005621,True,False,False,False,False
1,told,0.005037,True,False,False,False,False
1,know,0.004047,True,False,False,False,False
1,n't,0.003909,False,False,False,True,True
1,wife,0.003722,True,False,False,False,False
1,asked,0.00359,False,False,False,False,True
1,soviet,0.003369,True,True,False,False,False
1,get,0.003354,True,False,False,False,False
1,say,0.003346,True,False,False,False,False
1,go,0.003022,True,False,True,False,True
1,embassy,0.002869,True,True,False,False,False
1,friend,0.002857,True,False,False,False,False
1,meeting,0.00276,True,False,False,False,False
1,like,0.002737,True,False,False,False,False
1,de,0.002577,True,False,True,False,True
1,good,0.002532,True,False,False,False,False
1,loginov,0.002472,False,False,False,False,True
1,man,0.002367,True,False,False,False,False
1,people,0.002314,True,False,False,False,False
1,come,0.002201,True,False,False,False,False
1,take,0.002153,True,False,False,False,False
2,de,0.069039,True,False,True,False,True
2,la,0.04166,True,False,True,False,True
2,en,0.02446,True,False,True,False,True
2,el,0.021969,True,False,True,False,True
2,los,0.012266,False,False,False,False,True
2,del,0.010781,True,False,False,False,False
2,se,0.00975,True,False,True,False,True
2,por,0.009536,False,False,False,False,True
2,con,0.009083,True,False,False,False,False
2,un,0.008023,True,False,True,False,True
2,para,0.007324,True,False,False,False,False
2,al,0.00713,True,False,True,False,True
2,le,0.005955,False,False,True,False,True
2,e,0.005831,True,False,True,False,True
2,su,0.005536,False,False,True,False,True
2,una,0.005503,True,False,False,False,False
2,lo,0.005243,True,False,True,False,True
2,cuba,0.004336,True,True,False,False,False
2,como,0.003766,False,False,False,False,True
2,si,0.00277,True,False,True,False,True
3,communist,0.011252,True,True,False,False,False
3,fbi,0.00885,False,True,False,False,False
3,king,0.008253,True,False,False,False,False
3,attorney,0.00816,True,False,False,False,False
3,novel,0.007988,True,False,False,False,False
3,o'dell,0.007067,False,False,False,True,True
3,party,0.007032,True,True,False,False,False
3,atlanta,0.006439,True,False,False,False,False
3,sclc,0.006339,False,False,False,False,True
3,sullivan,0.005854,False,False,False,False,True
3,belmont,0.005329,False,False,False,False,True
3,york,0.005305,True,False,False,False,False
3,klan,0.005288,True,False,False,False,False
3,negro,0.005048,True,False,False,False,False
3,orleans,0.004836,True,False,False,False,False
3,letter,0.004705,True,False,False,False,False
3,bullet,0.004586,True,False,False,False,False
3,levison,0.00458,False,False,False,False,True
3,material,0.004559,True,False,False,False,False
3,committee,0.004407,True,False,False,False,False
4,n't,0.013129,False,False,False,True,True
4,know,0.007983,True,False,False,False,False
4,think,0.007725,True,False,False,False,False
4,president,0.0068,True,False,False,False,False
4,assassination,0.00625,True,False,False,False,False
4,washington,0.00573,True,False,False,False,False
4,thing,0.005337,True,False,False,False,False
4,meeting,0.005133,True,False,False,False,False
4,area,0.005076,True,False,False,False,False
4,people,0.005067,True,False,False,False,False
4,senator,0.004585,True,False,False,False,False
