topic_id,doc_index,file_id,topic_weight,text_preview
0,2818,124-10273-10289_redacted_chunk_071,0.999902,year characterization plp appendix speech derick allen hampton illinois state university normal illinois october southern illinois university carbondale illinois november appendi progressive labor par
0,2810,124-10273-10289_redacted_chunk_063,0.999902,august time longer existence leader became associated black panther party time appendix student nonviolent coordinating committee sncc student nonviolent coordinating committee sncc headquartered nels
0,2806,124-10273-10289_redacted_chunk_059,0.999901,girl apartment director lyon source director lyon verified source planned raid cancelling raid buy u.s. saving bond regularly payroll saving plan source weapon moved back west monroe street director l
0,2781,124-10273-10289_redacted_chunk_034,0.999901,black panther trouble ah change system government dave hilliard think suffer ah atrocity needed party thus far think like black organization become puppet area within system endarked possibly given gr
0,2811,124-10273-10289_redacted_chunk_064,0.999901,obvioulsy anti-personnel penetrate explodes still big enough kill certain advantage however taped window even hand behind back left burning trusty cigarette taped cigarette fuel tank car thrown car gu
1,2593,124-10264-10206_multirif_chunk_008,0.999846,service atlanta georgia sa alan sentinella ralph david abernathy atlanta georgia bureau file character synopsis racial matter drclass spallets born linden alabama resides laverne drive atlanta georgia
1,2601,124-10264-10208_multirif_chunk_008,0.999846,service atlanta georgia sa alan sentinella ralph david abernathy atlanta georgia bureau file character synopsis racial matter drclass spallets born linden alabama resides laverne drive atlanta georgia
1,2609,124-10264-10209_multirif_chunk_008,0.999846,service atlanta georgia sa alan sentinella ralph david abernathy atlanta georgia bureau file character synopsis racial matter drclass spallets born linden alabama resides laverne drive atlanta georgia
1,2617,124-10264-10210_multirif_chunk_008,0.999846,service atlanta georgia sa alan sentinella ralph david abernathy atlanta georgia bureau file character synopsis racial matter drclass spallets born linden alabama resides laverne drive atlanta georgia
1,3812,194-10002-10187_chunk_003,0.999792,city newspaper spark west coast newspaper june issue challenge state paper dedicated fight way life working men woman control home factory police court entire government every level source plp utilize
2,1505,104-10222-10032_chunk_001,0.999889,material reviewed cia headquarters house șelect committee assassination staff member file title/number/volume gichborn loper henky inclusive custodial unit/location room deletion received returned rev
2,1411,104-10219-10153_chunk_001,0.999886,file title/nunble/volues alvarez ramon ji vol inclusive jul jul custodial unit/location poom delitions none tate exte received peturned revived ppiny name xicating plating offic reviewed hsca pocument
2,857,104-10177-10134_chunk_001,0.999877,cia internal se optional confi entíal routing sheet officer designation room building form previous edition army officer initial rec 'd fwd comment comment show draw line ocrois column comment qimlite
2,1577,104-10224-10008_chunk_005,0.999749,cover agent kubark benadum concerned mexi odenvy chief abili sarotage hij work reproduction issuing prohibited ceket feel situation best avoided agree benadum right resign kubark right hire opinion si
2,1320,104-10215-10214_chunk_004,0.999736,without want acquire citizenship protection future local consulate file received unable pressure view feasible vaivada leave march hope wife visa case settled march end message marchi forbidlen make m
3,2681,124-10273-10008_multirif_chunk_001,0.999903,alan sentinella set ag senstudy represents writer recollection testimony given senate select committee ssc pursuant subpoena session commenced a.m. former room caroll arm hotel present senator robert 
3,2687,124-10273-10012_multirif_chunk_001,0.999903,alan sentinella set ag senstudy represents writer recollection testimony given senate select committee ssc pursuant subpoena session commenced a.m. former room caroll arm hotel present senator robert 
3,2693,124-10273-10014_multirif_chunk_001,0.999903,alan sentinella set ag senstudy represents writer recollection testimony given senate select committee ssc pursuant subpoena session commenced a.m. former room caroll arm hotel present senator robert 
3,2699,124-10273-10016_multirif_chunk_001,0.999903,alan sentinella set ag senstudy represents writer recollection testimony given senate select committee ssc pursuant subpoena session commenced a.m. former room caroll arm hotel present senator robert 
3,2705,124-10273-10018_multirif_chunk_001,0.999903,alan sentinella set ag senstudy represents writer recollection testimony given senate select committee ssc pursuant subpoena session commenced a.m. former room caroll arm hotel present senator robert 
4,696,104-10172-10111_chunk_001,0.999899,material reviewed cia headquarters house select committee assassination staff member file title/number/volume halperin maurice hyman vol iit inclusive custodial unit/location room deletion received th
4,697,104-10172-10111_chunk_002,0.999897,de francia estas cifras reflejan desde luego la actividades de la compañías de petróleo estadounidenses anglo-holandesas maurice halferin operan en venezuela pero dicen casi nada acerca de la economía
4,2245,104-10535-10001_chunk_002,0.999897,el segundo día de mi estancia en la habana cuando presente con el masola director del instituto cubano de amistad con los pueblo para quien llevaba una carta de presentación del embajador portuondo en
4,2244,104-10535-10001_chunk_001,0.999895,actividades de lee harvey oswald en mexico el de septiembre de oswald tomó el ommibus de la linea continental trailways en houstón partió la a.m. rumbo laredo texas pasando por corpus christi alice tu
4,565,104-10163-10176_chunk_004,0.999895,revolucionaria court miami florida ausindin sine home dial nombre dei programa pusilles hora 'azabisa la voz verde clivo la voz del pueblo la voz cubuna conciencia revolucionaria orientación la progra
5,1953,104-10324-10002_chunk_004,0.999906,foot trying upset apple cart impossible talk know intelligence officer god worse devil quite true guy senate staff senate staffer deliberately involved think wrecking intelligence community think what
5,1952,104-10324-10002_chunk_003,0.999906,thought feeling going huddleston mondale totally incompetent particular maybe testified june thought time gotten briefing staff hell going going 'll give example mentioned somewhere along way forget s
5,1950,104-10324-10002_chunk_001,0.999906,interview sam halpern october interviewer look background congressional investigation mind important factor bringing congressional investigation awfully large area halpern think look history backgroun
5,3411,157-10014-10242_chunk_008,0.999905,year old daughter forget name home nicknamed tennis player lot jogging play tennis every morning make contact american try recruit guess gather time spoke english without unintelligible fluently witho
5,3064,135-10001-10288_chunk_001,0.999904,form agency agency hpsci series agency file rock title participant transcript deposition frank sturgis wilfredo navarro robert olsen james roethe restriction paper textual open full last opening crite
6,892,104-10178-10001_chunk_005,0.999507,staff lumin cite wh/miami caracas info director paris rome madrid buenos aire rybai plmhabyss plmh ref continuing interest ref investigation however need summarize bndd traffic report available locall
6,1705,104-10231-10042,0.998962,garcia paula trust account paid recruit dependent annex transferred saving account annex reimbursed garcia paula annex total deposited trust account total deposited trust account less paid recruit dep
6,906,104-10178-10120,0.997546,bouting mutials seen message poam richard ober exit april secretariat dissemination per dele compi total come destroy return branch pre index file ci file impo rid file c/eur c/wh cife cine sdo dessif
6,2181,104-10433-10081,0.997413,richard ober origi bouting initiali sein message pea total copil index destrot return branch pro mad ext april bicretariat dissemination conft yeur c/wh cife cine book rid copt dex file ci file dce d/
6,907,104-10178-10124,0.996194,abo richard ober num april able secretariat dissemination carg mistadt foen total copie b+ acecreta inder dishöy inder smpon bid pile clozsilmation priority night action pile co pile dịch dịch dop add
7,1855,104-10291-10022_chunk_005,0.999896,hores get training covert political warfare covert economic warfare prior reassignment expected reassigned field fi pp capacity unon completion present tour headquarters note factor including personal
7,1180,104-10194-10001_chunk_003,0.999894,instruction special specify report due o.p employee serial numbèr general sex grade nov opp/div/br assignment check report current mexico city initial annual reassignment supervisor assignment employe
7,1206,104-10194-10019_chunk_004,0.999894,level performance jun form obsolete previous edition group congrading rating letter filled narrative comment indicate significant strength wecknesses demonstrated current position keeping profar porsp
7,1822,104-10291-10004_chunk_005,0.999893,occasional accomplishment performance consultation spirit cooperation deal personnel equally commendable criticism security cover deportment june month employee supervision certification comment emplo
7,1581,104-10224-10012_chunk_004,0.999893,foreign language competence required current position amplify explain rotings gison provide best basis determining future personnel action manner perforinanep panegerial sugen son duty cost consciousn
8,2401,124-10190-10075_chunk_007,0.999902,fbi command widespread public interest furnished sac program prove helpful well fbi personnel answering question correcting misunderstanding dispelling false rumor exist either within without rank fbi
8,2433,124-10190-10075_chunk_039,0.9999,issued bureau carefully reviewed possible interest feature writer field territory consideration given supplying appropriate writer appreciable passage time issuance obtain bureau approval release pert
8,2400,124-10190-10075_chunk_006,0.9999,effort indicate federal violation time statement indicate criminal obviously outside investigative jurisdiction fbi full investigative responsibility incident either assumed declared issuance statemen
8,2429,124-10190-10075_chunk_035,0.9999,composed individual organization identification order wanted flyer check circular apprehension order sent field annually mailing list order data sent firm ceased business merged organization survey co
8,2431,124-10190-10075_chunk_037,0.9999,authority making available every possible cooperative service fbi including bureau full laboratory identification facility assist handling out-of-state lead take charge investigative effort indicate f
9,3660,180-10073-10093_chunk_002,0.999914,residence property rented exempt property tax live person claimed dependent income tax purpose spouse claim homeowner property tax exemption receive public assistance part ii income business income lo
9,3661,180-10073-10093_chunk_003,0.999914,line enter loss line enter excess line line line exceed line enter zero loss carryover excess line line line exceed line enter zero enter schedule form line required complete part iv schedule form ent
9,3664,180-10073-10093_chunk_006,0.999914,line net profit loss subtract line line enter form schedule line schedule explanation line explanation amount line explanation amount department treasury internal revenue service u individual income t
9,3665,180-10073-10093_chunk_007,0.999913,loss insurance reimbursement insurance reimbursement subtract line line enter difference line greater line enter zero enter amount line whichever smaller casualty theft loss line less line alimony pai
9,3668,180-10073-10093_chunk_010,0.999912,form california capital gain loss attach form schedule report gain loss stock bond similar investment cre gain loss personal asset home jewelry name shown form samuel phyllis ruby short-term-assets he
10,2301,124-10180-10217_multirif_chunk_001,0.999903,transmit via teletype facsimile airtel fbi recedence- efto glassification assoc dir dop ad adm dep ad inv adm. serv crim inv fin pors ident intell laboratory clear plan ingp rec mga spec inv director 
10,2304,124-10180-10236_multirif_chunk_001,0.999903,transmit via teletype facsimile airtel fbi recedence- efto glassification assoc dir dop ad adm dep ad inv adm. serv crim inv fin pors ident intell laboratory clear plan ingp rec mga spec inv director 
10,2308,124-10180-10320_multirif_chunk_001,0.999903,transmit via teletype facsimile airtel fbi recedence- efto glassification assoc dir dop ad adm dep ad inv adm. serv crim inv fin pors ident intell laboratory clear plan ingp rec mga spec inv director 
10,2311,124-10180-10323_multirif_chunk_001,0.999903,transmit via teletype facsimile airtel fbi recedence- efto glassification assoc dir dop ad adm dep ad inv adm. serv crim inv fin pors ident intell laboratory clear plan ingp rec mga spec inv director 
10,2314,124-10180-10324_multirif_chunk_001,0.999903,transmit via teletype facsimile airtel fbi recedence- efto glassification assoc dir dop ad adm dep ad inv adm. serv crim inv fin pors ident intell laboratory clear plan ingp rec mga spec inv director 
11,3966,198-10005-10018_chunk_002,0.999917,cuban revolution important part latin american people liberating revolution cuban propaganda disseminated presna latin cuban-subsidized international news agency ba close working relation tass china n
11,3960,198-10004-10076_chunk_002,0.999917,pressure castro/communist cuba extent commitment overthrow regime prestige becomes deeply involved progress along route significant loss prestige alter abandon successful execution policy require care
11,3999,206-10001-10011_chunk_002,0.999917,later gave approval three flight addition already authorized priority overflight note agency later secured agreement continue isle pine leg bay pig area considerable negotiation state area jcs represe
11,3959,198-10004-10076_chunk_001,0.999917,form agency agency army series califano paper agency file army joseph califano title classification restriction last opening criterion comment examination principal source policy contingency planning 
11,4000,206-10001-10011_chunk_003,0.999916,fact among thousand soviet technician recently arrived island many appeared year age young acquire technical experience impart cuban young russian dress sport clothes give appearance recently complete
12,3590,180-10068-10310,0.999781,assassination board final determination notification agency hsca series staff payroll agency file december status postponed part release previously postponed reason board action board decision premise
12,3608,180-10068-10334,0.999754,assassination board final determination notification agency hsca series staff payroll agency file december status postponed part release previously postponed reason board action board decision premise
12,3601,180-10068-10322,0.999749,assassination board final determination notification agency hsca series staff payroll agency file december status postponed part release previously postponed reason board action board decision premise
12,3655,180-10071-10001,0.999739,assassination board final determination notification agency series hsca staff payroll agency file december status postponed part release previously postponed reason board action board decision premise
12,3558,180-10060-10468,0.999737,assassination board final determination notification agency hsca series agency file staff payroll december status postponed part release previously postponed reason board action board decision premise
13,495,104-10150-10136_chunk_002,0.999906,reduced vassall suspect full foundation nosenko claim comment continued detail nosenko passed british authority august september vassall arrested promptly confessed vassall confession confirmed nosenk
13,1259,104-10210-10037_chunk_003,0.999903,possible nosenko arrived washington hour evening february nosenko objection talking swiss soviet necessary february moscow ambassador kohler summoned soviet foreign minister gromyko read statement dep
13,499,104-10150-10136_chunk_006,0.999903,respect diamond contradiction specific assertion nosenko golitsyn general allegation unnamed american recruited kgb compromised tch kreisfreund illicit speculation preisfreund cia interviewed preisfre
13,3689,180-10110-10484_chunk_002,0.999903,used material extracted cia-controlled rigeda kew peak activity hour limerick target although even arrangement completely airtight anything less present unacceptable gap coverage considered without tw
13,2242,104-10534-10173_chunk_001,0.999903,annex statement soviet official nosenko part summary entitled conclusion comment case yuriy ivanovich nosenko dated october aforementioned summary forwarded march certain portion annex study deleted s
14,1852,104-10291-10022_chunk_002,0.999894,lesa mgh school graduate righ school graduate education check highest level education attained two year college degree bachelor degree trade business two year college commercial school graduate gragua
14,1849,104-10291-10021_chunk_001,0.999892,ref ation establishment cancellation official cover backstop lef control op chief contract personnel op chief pcs/css operating component action attn support staff apr employee card retirement cia sta
14,1218,104-10194-10023_chunk_005,0.99989,address country mitch relative resides citizenship country frequency contact special remark relative entirely dependent salary financial status yes answer state source income book reyalties last conta
14,1197,104-10194-10014_chunk_006,0.99989,service commission federal personnel manual appointment affidavit important. swearing appointment affidavit read understand appointee central intelligence agency department agency bureau james o'conne
14,1514,104-10222-10038_chunk_007,0.99989,ivo item name address d'enchy reason case thday voi fyep arreated indicted na court defendant criminal proceeling carl chine imprisoned placed proībation ta bearded deposit bail collateral violation c
